,ch1 - AF7,ch2 - AF8,ch3 - TP9,ch4 - TP10,timestamp
294,4836.616267946083,-2340.900619665161,-4077.8784545855597,127.504409189336,1731806990.3974378
295,5108.751958171837,-2063.697364999447,-3843.523233712185,-37.974944150075316,1731806990.3982105
296,4669.9457564707845,-2382.277002824936,-4145.303240936715,-527.3221538523212,1731806990.3982105
297,4855.542031671852,-2227.0786344637163,-3869.3061040067114,-579.1029386888258,1731806990.4119484
298,5329.823054402601,-1884.2326557757333,-3696.831267800182,-750.0425459635444,1731806990.4119484
299,5623.676343671046,-1438.0457615121268,-3211.517540200148,-618.9571825666353,1731806990.4275784
300,5475.570695575792,-1566.6253919387236,-3238.3195332325995,-1031.9225455238484,1731806990.4275784
301,5517.607171077747,-1736.2822135286406,-3568.4928609207273,-1482.1466617896222,1731806990.428249
302,5761.921745533124,-1379.4078701068647,-3194.231722604949,-1500.0682623772882,1731806990.428249
303,6096.919544164091,-1773.7186120850965,-3334.8426111890003,-1436.968670324888,1731806990.4418547
304,5748.325339244213,-1456.4254998443648,-3276.930260375142,-1009.5729033886455,1731806990.4418547
305,6006.399005636573,-1168.5336111052893,-2998.1450280281715,-1141.2585207284428,1731806990.4574525
306,5726.467493953183,-1234.1613755277358,-2894.3852436575107,-1243.1034763217904,1731806990.4574525
307,5733.6892407676205,-1420.6196976685897,-3167.1529769757763,-837.5487251267768,1731806990.4581769
308,5316.989587704651,-951.5109565765597,-2751.3116309526376,-784.9713415997103,1731806990.4581769
309,5791.143453836907,-1185.265923507046,-2753.2301996299066,-1173.554426795803,1731806990.4718664
310,5442.04436242301,-699.65861376049,-2429.24266646849,-1194.2192440009676,1731806990.4718664
311,5589.792850072496,-650.5387677424587,-2423.9881070307456,-1316.9216216471978,1731806990.4875853
312,5880.564461777452,-222.52778726350516,-2906.898948909249,-1225.643753378652,1731806990.4875853
313,6008.921568156686,-22.95924582798034,-2652.481034723576,-742.3327422048897,1731806990.4886358
314,5738.80916380696,461.7654475290328,-2305.597834033426,-1017.1611603987403,1731806990.4886358
315,6224.792333499063,119.50476318411529,-2485.842312397901,-651.3596757827327,1731806990.5018709
316,6651.76736169029,-369.64423182047904,-2085.4243137920275,-419.4690489801578,1731806990.5018709
317,6654.822859954089,-485.9158514929004,-2248.0258141155355,-896.2558046812192,1731806990.5174873
318,6407.619212782942,-734.2489484506659,-2419.339411385823,-460.03574379952624,1731806990.5174873
319,6694.961336228531,-333.3447628505528,-2006.2992504294962,-403.7109805168584,1731806990.5182295
320,6443.608270056546,-612.5488639925607,-2294.6773261628114,-89.12181594409049,1731806990.5182295
321,6740.201036042534,-353.58323146076873,-1961.4335406110622,103.6775065716356,1731806990.5320132
322,6822.929493012372,-300.24290834274143,-2042.989538944792,-349.95739845372736,1731806990.5320132
323,6986.146206878591,-2.703947667963803,-1636.6045299596153,-706.0463628848083,1731806990.5481975
324,6847.457626871765,-310.4285258720629,-1996.6129095442593,-718.0607914924622,1731806990.5481975
325,7102.442135900725,-16.93800689931959,-1700.7064152001403,-843.7027305038646,1731806990.5483572
326,6740.748931386042,-239.02074606809765,-1856.8173191505484,-1192.6690554693341,1731806990.5483572
327,6882.2667457093485,-128.3571063792333,-1666.217057808768,-1321.1327489973046,1731806990.5619075
328,7348.2152713388205,153.58834143029526,-1575.2159421369433,-1558.8594896807335,1731806990.5619075
329,7644.791207775008,621.324539238587,-2025.6607125001028,-1409.0634068055078,1731806990.5776367
330,7546.40004979074,554.2400837833993,-1986.7956721605733,-1761.2516555828042,1731806990.5776367
331,7540.89865695592,344.1886027720757,-2385.0800578417256,-1277.4226682651788,1731806990.57854
332,7789.229883963708,658.2971902005374,-2034.9150949404575,-1340.6980356154963,1731806990.57854
333,8152.7032808572985,260.5457402630709,-2203.3545790947974,-1304.1666928483173,1731806990.5925756
334,7752.483496949077,524.1638083397411,-2226.396102721803,-935.9174437113106,1731806990.5925756
335,-1731.381074636709,-1994.6700315172784,-2725.5025813584216,-2838.398941320833,1731806990.593213
336,-1977.477711420972,-1994.1838445230387,-2519.8006039955653,-2857.9773175888695,1731806990.607241
337,-2075.4387809103355,-2356.2566488832235,-2085.9647293356247,-2709.8249207441695,1731806990.607241
338,-2500.4297921750695,-2807.845828632824,-1605.419374179095,-2585.4040590683,1731806990.6224892
339,-2079.0309548177756,-3152.9637965438887,-1812.9838217198849,-2190.853963492904,1731806990.6224892
340,-2380.652016294189,-3532.9582014917396,-2255.5542327263393,-2015.4451757711358,1731806990.6232207
341,-2295.2401811061427,-3603.144903960172,-2414.514940442983,-2296.420119542163,1731806990.6232207
342,-1820.2223980841227,-3892.1942917355336,-2471.1370257721283,-2778.1379333348013,1731806990.636907
343,-1790.7482465333305,-3857.611436845269,-2509.2428664206527,-2576.6657828218304,1731806990.636907
